Date,Inflation_Ukraine_actual,Inflation_Eurozone_actual,Counterfactual_pure,Counterfactual_weighted,theta_sovereignty
2006-05-01,7.3,2.5,,,0.1
2006-06-01,6.8,2.5,,,0.1
2006-07-01,7.4,2.4,,,0.1
2006-08-01,7.4,2.3,,,0.1
2006-09-01,9.1,1.8,1.8501498916718582,8.375014989167186,0.1
2006-10-01,11.0,1.6,1.7673040564611744,10.076730405646117,0.1
2006-11-01,11.6,1.9,1.9960624993611078,10.63960624993611,0.1
2006-12-01,11.6,1.9,1.6130932943849983,10.6013093294385,0.1
2007-01-01,10.9,1.8,0.8827239812895666,9.898272398128958,0.1
2007-02-01,9.5,1.9,0.43594568009038137,8.593594568009038,0.1
2007-03-01,10.1,1.9,0.05496159082539864,9.09549615908254,0.1
2007-04-01,10.5,1.9,-0.35670328083292224,9.41432967191671,0.1
2007-05-01,10.6,1.9,-0.7095421082476792,9.469045789175231,0.1
2007-06-01,13.0,1.9,-0.9908479544616013,11.600915204553841,0.1
2007-07-01,13.5,1.8,-1.2831492625767524,12.021685073742326,0.1
2007-08-01,14.2,1.7,-1.5342931751524007,12.62657068248476,0.1
2007-09-01,14.4,2.1,-1.2925005621446348,12.830749943785538,0.1
2007-10-01,14.8,2.5,-1.2154952460436705,13.198450475395633,0.1
2007-11-01,15.2,3.0,-0.9484229807508195,13.585157701924917,0.1
2007-12-01,16.6,3.1,-0.8209435474440188,14.857905645255599,0.1
2008-01-01,19.4,3.2,-0.6361162812661538,17.396388371873385,0.1
2008-02-01,21.9,3.3,-0.6678772707162457,19.643212272928377,0.1
2008-03-01,26.2,3.6,-0.44257076134973117,23.535742923865026,0.1
2008-04-01,30.2,3.3,-0.7467877068262325,27.105321229317376,0.1
2008-05-01,31.1,3.7,-0.43046284147463343,27.946953715852537,0.1
2008-06-01,29.3,4.0,-0.11141738900901021,26.3588582610991,0.1
2008-07-01,26.8,4.1,0.09212074642151169,24.12921207464215,0.1
2008-08-01,26.0,3.8,0.09553071956785386,23.409553071956786,0.1
2008-09-01,24.6,3.7,0.5613601026552302,0.5613601026552302,1.0
2008-10-01,23.2,3.2,1.200257059111225,1.200257059111225,1.0
2008-11-01,22.3,2.1,1.8240497426319904,1.8240497426319904,1.0
2008-12-01,22.3,1.6,3.021760268030982,3.021760268030982,1.0
2009-01-01,22.3,1.1,4.226197361155172,4.226197361155172,1.0
2009-02-01,20.9,1.2,5.927889801668567,5.927889801668567,1.0
2009-03-01,18.1,0.6,6.611882706171403,6.611882706171403,1.0
2009-04-01,15.6,0.6,7.740390144361784,7.740390144361784,1.0
2009-05-01,14.7,0.0,8.157142333422126,8.157142333422126,1.0
